title,price,location,link
Rumah Halaman Luas di Kasturi Bintaro Jaya Sektor 9,Rp 6.5 M,Tangerang Selatan Bintaro,https://www.rumah123.com/properti/tangerang-selatan-bintaro/rumah-halaman-luas-di-kasturi-bintaro-jaya-sektor-9-hos39095854/
Dijual Rumah Nyaman Akses Mudah Dekat Tol dan Mall di Bogor,Rp 2 M,Bogor Sentul City,https://www.rumah123.com/properti/bogor-sentul-city/dijual-rumah-nyaman-akses-mudah-dekat-tol-dan-mall-di-bogor-hos40526038/
Rumah Feronia 180mtr Dan 160,Rp 2.75 M,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/rumah-feronia-180mtr-dan-160-hos13355404/
"Sutera Victoria Palma 5,3M NEGO",Rp 5.35 M,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-victoria-palma-53m-nego-hos16250602/
Di Jual Rumah Ready 3lt Siap Huni Strategis Kemayoran,Rp 1.65 M,Jakarta Pusat Kemayoran,https://www.rumah123.com/properti/jakarta-pusat-kemayoran/di-jual-rumah-ready-3lt-siap-huni-cocok-tuk-rumah-tinggal-juga-usaha-hos40524076/
Podomoro Golf View,Rp 375 Juta,Depok,https://www.rumah123.com/perumahan-baru/properti/depok/podomoro-golf-view/nps1906/
Akasa Pure Living - BSD City,Rp 422 Juta,Tangerang,https://www.rumah123.com/perumahan-baru/properti/tangerang/akasa-pure-living-bsd-city/nps1756/
Socia Garden Karawang,Rp 535 Juta,Karawang,https://www.rumah123.com/perumahan-baru/properti/karawang/socia-garden-karawang/nps3643/
Podomoro Park Bandung,Rp 900 Juta,Bandung,https://www.rumah123.com/perumahan-baru/properti/bandung/podomoro-park-bandung/nps1697/
Parkland Podomoro,Rp 900 Juta,Karawang,https://www.rumah123.com/perumahan-baru/properti/karawang/parkland-podomoro/nps3227/
Orchard Park Batam,Rp 980 Juta,Batam,https://www.rumah123.com/perumahan-baru/properti/batam/orchard-park-batam/nps2746/
Green Bamboo Terrace,Rp 1.2 M,Bogor,https://www.rumah123.com/perumahan-baru/properti/bogor/green-bamboo-terrace/nps3024/
Aksara Homes,Rp 1.4 M,Tangerang Selatan,https://www.rumah123.com/perumahan-baru/properti/tangerang-selatan/aksara-homes/nps3555/
Southgate Residence,Rp 2.5 M,Jakarta Selatan,https://www.rumah123.com/perumahan-baru/properti/jakarta-selatan/southgate-residence/nps1688/
The Elements,Rp 4.6 M,Jakarta Selatan,https://www.rumah123.com/perumahan-baru/properti/jakarta-selatan/the-elements/nps1689/
Sutera Feronia Kirana Jelita Gardenia,Rp 1.75 M,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-feronia-kirana-jelita-gardenia-hos18345996/
Permata Regency,Rp 305 Juta,Klaten,https://www.rumah123.com/perumahan-baru/properti/klaten/permata-regency/nps7627/
Rumah 2 Lantai Full Renovasi Alicante Gading Serpong Bsd City Tangerang Banten,Rp 4.2 M,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-alicante-gading-serpong-bsd-city-tangerang-banten-hos40841484/
Rumah Mewah Di Jual Di Sedayu City Rumah,Rp 3.9 M,Jakarta Utara Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/rumah-mewah-di-jual-di-sedayu-city-rumah-hos40435671/
"Rumah dengan Kolam Renang, Lokasi Strategis di Pondok Indah, Jakarta Selatan",Rp 15.8 M,Jakarta Selatan Pondok Indah,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-dengan-kolam-renang-lokasi-strategis-di-pondok-indah-jakarta-selatan-hos19297806/
PURI MAS RESIDENCE BUNTALAN,Rp 445 Juta,Klaten,https://www.rumah123.com/perumahan-baru/properti/klaten/puri-mas-residence-buntalan/nps7581/
SUTERA PALMYRA TERMURAH 200MTR,Rp 3.9 M,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-palmyra-termurah-200mtr-hos14729829/
Rumah 2 Lantai Full Renovasi Trimezia Gading Serpong BSD City Tangerang Banten,Rp 3.3 M,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-trimezia-gading-serpong-bsd-city-tangerang-banten-hos39744658/
Rumah 2 Lantai Full Renovasi Bohemia Gading Serpong BSD City Tangerang Banten,Rp 2.5 M,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-bohemia-gading-serpong-bsd-city-tangerang-banten-hos40075006/
Orchard Kos Tembalang,Rp 3.85 M,Semarang,https://www.rumah123.com/perumahan-baru/properti/semarang/orchard-kos-tembalang/nps7582/
Sutera Palma 240 dan 200 Termurahh,Rp 4.5 M,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-aurora-240-termurahh-hos16272110/
"Sutera Leora 3,1M",Rp 3.1 M,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-leora-31m-hos18270281/
Gunadi Rumah 8x15 Dijual Di Green Lake City Sudah Renovasi,Rp 3.3 M,Jakarta Barat Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/gunadi-rumah-8x15-dijual-di-green-lake-city-sudah-renovasi-hos40614650/
Bandung City View 2,Rp 883 Juta,Bandung,https://www.rumah123.com/perumahan-baru/properti/bandung/bandung-city-view-2/nps7583/
Dijual Rumah Hook Mewah di Pik Golf Island Luas 13X20 Furnished,Rp 11 M,Jakarta Utara Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/dijual-rumah-hook-mewah-di-pik-golf-island-luas-13x20-furnished-hos40842117/
Dijual Rumah Golf Island 8X15 Termurah Se Golf Island!!!,Rp 3.8 M,Jakarta Utara Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/dijual-rumah-golf-island-8x15-termurah-se-golf-island-hos40796043/
Gunadi Rumah Dijual 6x15 Australia Green Lake City Termurah,Rp 2.17 M,Jakarta Barat Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/gunadi-rumah-dijual-6x15-australia-green-lake-city-termurah-hos40201790/
"Turun Harga Dijual Rumah 8x18 City Resort Cengkareng, 3 Lantai Mewah Interior Hadap Tenggara",Rp 3.98 M,Jakarta Barat Cengkareng,https://www.rumah123.com/properti/jakarta-barat-cengkareng/turun-harga-dijual-rumah-8x18-city-resort-cengkareng-3-lantai-mewah-interior-hadap-tenggara-hos19455745/
Rumah Tinggal Perumahan Acropolis De Karadenan,Rp 406 Juta,Bogor Cibinong,https://www.rumah123.com/properti/bogor-cibinong/rumah-tinggal-perumahan-acropolis-de-karadenan-hos19498908/
Rumah Tinggal Perumahan Duta Kranji,Rp 556 Juta,Bekasi Bekasi Barat,https://www.rumah123.com/properti/bekasi-bekasi-barat/rumah-tinggal-perumahan-duta-kranji-hos39369043/
