title,price,location,link
Rumah Tinggal De Green Grande,Rp 614 Juta,Bandung Buah Batu,https://www.rumah123.com/properti/bandung-buah-batu/rumah-tinggal-de-green-grande-hos19501727/
For Sale Rumah Mewah Kondisi Baru di Tengah Jaksel Dekat SCBD Jarang Ada,Rp 6.9 M,Jakarta Selatan Senopati,https://www.rumah123.com/properti/jakarta-selatan-senopati/for-sale-rumah-mewah-kondisi-baru-di-tengah-jaksel-dekat-scbd-jarang-ada-hos39652266/
Rumah Tinggal Jalan Kedondong,Rp 1.47 M,Jakarta Selatan Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah-tinggal-jalan-kedondong-hos19501510/
Rumah Tinggal Cluster Laurus Residence,Rp 396 Juta,Makassar Tamalate,https://www.rumah123.com/properti/makassar-tamalate/rumah-tinggal-cluster-laurus-residence-hos39032856/
Dijual Rumah Cantik Cluster Orlanda di Alam Sutra,Rp 6.5 M,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-cantik-cluster-orlanda-di-alam-sutra-hos40852081/
Rumah Tinggal BSD Puspitaloka,Rp 2.92 M,Tangerang Selatan Serpong,https://www.rumah123.com/properti/tangerang-selatan-serpong/rumah-tinggal-bsd-puspitaloka-hos19501553/
Hunian Nyaman dan Baru Modern Minimalis 2 Kamar di Bandung,Rp 890 Juta,Bandung Batununggal,https://www.rumah123.com/properti/bandung-batununggal/hunian-nyaman-minimalis-2-kamar-di-bandung-hos40177567/
MALAYA,Rp 779 Juta,Bandung Barat,https://www.rumah123.com/perumahan-baru/properti/bandung-barat/malaya/nps7565/
Rumah Tinggal Harvest City Cluster Sakura Indica,Rp 334 Juta,Bekasi Setu,https://www.rumah123.com/properti/bekasi-setu/rumah-tinggal-harvest-city-cluster-sakura-indica-hos19567215/
Rumah Tinggal Jalan Syarifuddin Yoes Perum Sepinggan Pratama,Rp 786 Juta,Balikpapan Balikpapan Selatan,https://www.rumah123.com/properti/balikpapan-balikpapan-selatan/rumah-tinggal-jalan-syarifuddin-yoes-perum-sepinggan-pratama-hos19501552/
Rumah Tinggal Kirana Legacy Cluster Norfolk,Rp 910 Juta,Jakarta Utara Cilincing,https://www.rumah123.com/properti/jakarta-utara-cilincing/rumah-tinggal-kirana-legacy-cluster-norfolk-hos19566355/
GOLDEN PARK RESIDENCE,Rp 530 Juta,Klaten,https://www.rumah123.com/perumahan-baru/properti/klaten/golden-park-residence/nps7558/
Rumah Tinggal Komplek Halton Place,Rp 572 Juta,Medan Medan Denai,https://www.rumah123.com/properti/medan-medan-denai/rumah-tinggal-komplek-halton-place-hos19501977/
Rumah Murah 700jutaan Carport Di Jakarta Pusat Johar Baru,Rp 732 Juta,Jakarta Pusat Johar Baru,https://www.rumah123.com/properti/jakarta-pusat-johar-baru/rumah-murah-700jutaan-carport-di-jakarta-pusat-johar-baru-hos40562754/
Rumah Murah Strategis Setia Budi Menteng Jakarta Selatan,Rp 1.07 M,Jakarta Selatan Menteng Dalam,https://www.rumah123.com/properti/jakarta-selatan-menteng-dalam/rumah-murah-strategis-setia-budi-menteng-jakarta-selatan-hos40807247/
Garden Avenue,Rp 1.5 M,Batam,https://www.rumah123.com/perumahan-baru/properti/batam/garden-avenue/nps7527/
Rumah Nyaman dan Kokoh Dalam Komplek Gandul Cinere Deket Pangkalan Jati dan Andara,Rp 4.5 M,Depok Cinere,https://www.rumah123.com/properti/depok-cinere/rumah-nyaman-dan-kokoh-dalam-komplek-gandul-cinere-deket-pangkalan-jati-dan-andara-hos40803662/
Rumah Murah Utan Kayu Matraman Jakarta Timur 300Jutaan SHM,Rp 396 Juta,Jakarta Timur Utan Kayu,https://www.rumah123.com/properti/jakarta-timur-utan-kayu/rumah-murah-utan-kayu-matraman-jakarta-timur-300jutaan-shm-hos40831178/
Ana Rumah Semifurnish 3Lt Luas 5X17m2 Nyaman di Tomang - * Good-Deal!!*,Rp 2.5 M,Jakarta Barat Tomang,https://www.rumah123.com/properti/jakarta-barat-tomang/ana-rumah-semifurnish-3lt-luas-5x17m2-nyaman-di-tomang-gooddeal-hos39877474/
Rumah Mungil Tapi Cantik di Pangkalan Jati - Lokasi Strategis,Rp 1.9 M,Depok Pangkalan Jati,https://www.rumah123.com/properti/depok-pangkalan-jati/rumah-mungil-tapi-cantik-di-pangkalan-jati-lokasi-strategis-hos40924174/
"Rumah di Tebet Timur Akses Lebar Jalan 3 Mobil,3 Lantai Ada Lift dan Swimming Pool Kolam Renang",Rp 9.7 M,Jakarta Selatan Tebet,https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-di-tebet-timur-akses-lebar-jalan-3-mobil3-lantai-ada-lift-dan-swimming-pool-kolam-renang-hos40687569/
Rumah Resto Kafe di Tebet Jalan Raya Depan Taman Ecopark,Rp 17.5 M,Jakarta Selatan Tebet,https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-resto-kafe-di-tebet-jalan-raya-depan-taman-ecopark-hos17941810/
"Rumah Siap Huni di Tebet Akses Jalan 2 Mobil, Hanya 7 Menit ke Mt Haryono & Tol Dalam Kota",Rp 2.3 M,Jakarta Selatan Tebet,https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-siap-huni-di-tebet-akses-jalan-2-mobil-hanya-7-menit-ke-mt-haryono-tol-dalam-kota-hos40806196/
"Jual Cepat, Jual Bu , Rumah Riviera Puri ,8X15 , Semi Furnished",Rp 3.6 M,Jakarta Barat Metland Puri,https://www.rumah123.com/properti/jakarta-barat-metland-puri/rumah-cantik-riviera-puri-8x15-hadap-utara-semi-furnished-hos40303467/
Rumah 3 lantai di Cluster Laurel Navapark BSD - Type 12 Corner / Hoek,Rp 18.8 M,Tangerang Selatan Bsd,https://www.rumah123.com/properti/tangerang-selatan-bsd/laurel-navapark-bsd-type-12-corner-hoek-hos39923133/
Rumah Strategis dekat AEON JGC Siap Huni Dibantu KPR J-28684,Rp 440 Juta,Jakarta Timur Cakung,https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-strategis-dekat-aeon-jgc-siap-huni-dibantu-kpr-j28684-hos39954822/
Tipe 2 Lantai di Derwati Mas Estate,Rp 1.2 M,Bandung,https://www.rumah123.com/perumahan-baru/properti/bandung/derwati-mas-estate/tipe-2-lantai/hos3100794/
Type 110 di Derwati Mas Estate,Rp 1.2 M,Bandung,https://www.rumah123.com/perumahan-baru/properti/bandung/derwati-mas-estate/type-110/hos15600/
Type 166 di Derwati Mas Estate,Rp 2.05 M,Bandung,https://www.rumah123.com/perumahan-baru/properti/bandung/derwati-mas-estate/type-166/hos2100086/
Jual Rumah Minimalis 2 Kamar di Bandung Bagus Kondisi Baru,Rp 890 Juta,Bandung Bandung Kota,https://www.rumah123.com/properti/bandung-bandung-kota/jual-rumah-minimalis-2-kamar-di-bandung-bagus-kondisi-baru-hos40067540/
Rumah Bebas Banjir 10 menit ke Plaza Taman Harapan Baru Dibantu KPR J32676,Rp 520 Juta,Bekasi Summarecon Bekasi,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/rumah-bebas-banjir-10-menit-ke-plaza-taman-harapan-baru-dibantu-kpr-j32676-hos39351061/
Rumah Mewah Elegant 2 Lantai Di Jl.lagura Cempaka Putih Timur,Rp 1.29 M,Jakarta Pusat Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-mewah-elegant-2-lantai-di-jllagura-cempaka-putih-timur-hos40276350/
ENZO di THE INIZIO,Rp 1.82 M,Malang,https://www.rumah123.com/perumahan-baru/properti/malang/the-inizio/enzo/hos69979/
CIELO di THE INIZIO,Rp 1.43 M,Malang,https://www.rumah123.com/perumahan-baru/properti/malang/the-inizio/cielo/hos59978/
FONTANA di THE INIZIO,Rp 1.29 M,Malang,https://www.rumah123.com/perumahan-baru/properti/malang/the-inizio/fontana/hos49977/
VITTORIO B di THE INIZIO,Rp 1.21 M,Malang,https://www.rumah123.com/perumahan-baru/properti/malang/the-inizio/vittorio-b/hos39976/
Rumah Mewah Cempaka Putih 2 Lantai SHM Dekat Kuliner Tamansolo,Rp 1.3 M,Jakarta Pusat Cempaka Putih,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-2-lantai-dekat-area-perkantoran-di-cempaka-putih-hos40486230/
"Rumah Baru di Tebet Timur, Akses Jalan 2 Mobil, Walking Distance to Ecopark",Rp 4.79 M,Jakarta Selatan Tebet,https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-di-tebet-timur-akses-jalan-2-mobil-dekat-taman-ecopark-renovasi-2025-hos39907608/
rumah straegis,Rp 4.3 M,Jakarta Timur Rawamangun,https://www.rumah123.com/properti/jakarta-timur-rawamangun/rumah-straegis-hos7442016/
Gunadi 6X15 Rumah Dijual Green Lake City Furnished Siap Huni,Rp 2.65 M,Jakarta Barat Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/gunadi-6x15-rumah-dijual-green-lake-city-furnished-siap-huni-hos40760017/
Gunadi Dijual Rumah 6x15 Green Lake City Dijual Cluster Australia Hadap Utara Termurah,Rp 2.15 M,Jakarta Barat Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/rumah-6x15-green-lake-city-dijual-cluster-australia-hadap-utara-termurah-hos39866175/
Dijual Rumah 8x18 Green Lake City Dekat Danau Shm Selatan,Rp 3.8 M,Jakarta Barat Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/dijual-rumah-8x18-green-lake-city-dekat-danau-shm-selatan-hos39783637/
OLEANDER di CLUSTER AYANA,Rp 1.17 M,Makassar,https://www.rumah123.com/perumahan-baru/properti/makassar/cluster-ayana/oleander/hos29986/
GARDENIA di CLUSTER AYANA,Rp 979 Juta,Makassar,https://www.rumah123.com/perumahan-baru/properti/makassar/cluster-ayana/gardenia/hos29985/
ASTER di CLUSTER AYANA,Rp 798 Juta,Makassar,https://www.rumah123.com/perumahan-baru/properti/makassar/cluster-ayana/aster/hos09984/
Rumah Hadap Utara 15 Menit ke Paradise Walk Serpong Siap KPR J-39808,Rp 910 Juta,Tangerang Selatan Serpong,https://www.rumah123.com/properti/tangerang-selatan-serpong/rumah-hadap-utara-15-menit-ke-paradise-walk-serpong-siap-kpr-j39808-hos40831062/
Rumah Strategis SHM 10 Menit ke Cbd Ciledug Family Mall Siap KPR J-24173,Rp 1.4 M,Tangerang Selatan Bintaro,https://www.rumah123.com/properti/tangerang-selatan-bintaro/rumah-strategis-shm-10-menit-ke-cbd-ciledug-family-mall-siap-kpr-j24173-hos40796867/
Rumah Semarang Timur Angsuran 1 Jutaan - 5 Juta Free All In,Rp 290 Juta,Semarang Semarang Timur,https://www.rumah123.com/properti/semarang-semarang-timur/dp-0-booking-5-juta-free-all-in-rumah-scandinavian-semarang-hos39841106/
"Tipe 30 dengan lebihan Tanah 1,5jt/m2 di Perumahan De BaLi Garden",Rp 166 Juta,Bantul,https://www.rumah123.com/perumahan-baru/properti/bantul/perumahan-de-bali-garden/tipe-30-dengan-lebihan-tanah-15jtm2/hos199899/
Tipe 30 di Perumahan De BaLi Garden,Rp 166 Juta,Bantul,https://www.rumah123.com/perumahan-baru/properti/bantul/perumahan-de-bali-garden/tipe-30/hos09898/
Rumah Semarang Timur Cicilan 2 Jutaan,Rp 406 Juta,Semarang Semarang Timur,https://www.rumah123.com/properti/semarang-semarang-timur/rumah-minimalis-semarang-timur-dp-0-booking-5-jt-free-all-in-hos40014718/
"Gunadi Rumah 4X15 Dijual di Green Lake City, 2 Lantai Siap Huni",Rp 1.6 M,Jakarta Barat Green Lake City,https://www.rumah123.com/properti/jakarta-barat-green-lake-city/gunadi-rumah-4x15-dijual-di-green-lake-city-2-lantai-siap-huni-hos40760090/
Rumah 2lt Bagus Jual Murah Siap Huni Semi Furnish Di Cluster Harmoni Harapan Indah Bekasi,Rp 1.2 M,Bekasi Harapan Indah,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-2lt-bagus-jual-murah-siap-huni-semi-furnish-di-cluster-harmoni-harapan-indah-bekasi-hos40642430/
"Dibawah Pasaran Citra Garden Serpong Hook Luas 99M2, Brand New Dijual Cepat",Rp 1.29 M,Tangerang Selatan Serpong,https://www.rumah123.com/properti/tangerang-selatan-serpong/dibawah-pasaran-citra-garden-serpong-hook-luas-99m2-brand-new-dijual-cepat-hos40759963/
Royal Tajur Residence,Rp 1.59 M,Bogor,https://www.rumah123.com/perumahan-baru/properti/bogor/royal-tajur-residence/nps7448/
Rumah Butuh Cepat Dalam Cluster Besar di Bintaro Jaya Sektor 9,Rp 7.6 M,Tangerang Selatan Bintaro,https://www.rumah123.com/properti/tangerang-selatan-bintaro/rumah-design-classic-dalam-cluster-besar-di-bintaro-jaya-sektor-9-hos40966853/
Dijual Cepat Rumah di Jl. Kelapa Nias Kelapa Gading,Rp 4.2 M,Jakarta Utara Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-cepat-rumah-di-jl-kelapa-nias-kelapa-gading-hos40970251/
Premier Promenade,Rp 1.39 M,Depok,https://www.rumah123.com/perumahan-baru/properti/depok/premier-promenade/nps3445/
Ana Rumah 3.5Lt Luas 8.5X17.5m Semifurnish bisa Usaha di Jelambar - * Good- Deal !!*,Rp 4.85 M,Jakarta Barat Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/ana-rumah-35lt-luas-85x175m-semifurnish-bisa-usaha-di-jelambar-gooddeal-hos17949275/
Ana Rumah Kav Polri Luas 8x20m 3lt Hadap Timur Lokasi Bagus Jelambar - * Good- Deal !!*,Rp 5 M,Jakarta Barat Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/ana-rumah-kav-polri-luas-8x20m-3lt-hadap-timur-lokasi-bagus-jelambar-good-deal-hos40668280/
Ana Rumah Baru 3Lt Luas 4.3X12m Jln 1 Mobil Harga 1M-An di Jelambar - * Good- Deal !!*,Rp 1.35 M,Jakarta Barat Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/ana-rumah-baru-3lt-luas-43x12m-jln-1-mobil-harga-1man-di-jelambar-good-deal-hos19232885/
Metland Menteng,Rp 2.18 M,Jakarta Timur,https://www.rumah123.com/perumahan-baru/properti/jakarta-timur/metland-menteng/nps1948/
Ana Rumah Baru 3.5Lt Luas 4X14m di Jelambar - * Good- Deal !!*,Rp 1.85 M,Jakarta Barat Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/ana-rumah-baru-35lt-luas-4x14m-di-jelambar-good-deal-hos40920568/
Rumah 2 Lantai dengan 3 Kamar Tidur Dijual di Cibubur,Rp 1.6 M,Bogor Kota Wisata,https://www.rumah123.com/properti/bogor-kota-wisata/rumah-2-lantai-dengan-3-kamar-tidur-dijual-di-cibubur-hos39977462/
Rumah New Condition 2 Lantai Murah di Dalam Cluster Bogor,Rp 2 M,Bekasi Cibubur,https://www.rumah123.com/properti/bekasi-cibubur/rumah-baru-di-cluster-di-cibubur-2-lantai-dan-3-kamar-tidur-hos40524064/
Cideng Lokasi Strategis - Rumah Siap Huni - Jakarta Pusat,Rp 7.5 M,Jakarta Pusat Cideng,https://www.rumah123.com/properti/jakarta-pusat-cideng/cideng-lokasi-strategis-rumah-siap-huni-jakarta-pusat-hos39027378/
Hunian Bagus Baru 2 Lantai Modern Dekat Fasilitas Umum & Akses Transum,Rp 1.6 M,Bogor Kota Wisata,https://www.rumah123.com/properti/bogor-kota-wisata/hunian-bagus-baru-2-lantai-modern-dekat-fasilitas-umum-akses-transum-hos39978282/
Rumah Premium Luas dengan Fasilitas Bintang Lima Dijual Kondisi Baru di Jakarta,Rp 5.4 M,Jakarta Utara Sunter,https://www.rumah123.com/properti/jakarta-utara-sunter/rumah-premium-luas-dengan-fasilitas-bintang-lima-dijual-kondisi-baru-di-jakarta-hos40863289/
Ana Rumah Baru 3Lt Luas 5X15m Kualitas Premium Hadap Timur di Jelambar - * Good- Deal !!*,Rp 2.5 M,Jakarta Barat Jelambar,https://www.rumah123.com/properti/jakarta-barat-jelambar/ana-rumah-baru-3lt-luas-5x15m-kualitas-premium-hadap-timur-di-jelambar-good-deal-hos40920774/
"Dijual Rumah Mewah 2 Lantai di Jakarta Dekat Mall, Sekolah, RS, Universitas",Rp 2.3 M,Jakarta Utara Kelapa Gading,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-rumah-mewah-2-lantai-di-jakarta-dekat-mall-sekolah-rs-universitas-hos40222413/
"Rumah Mewah di Golf Island, 10X20 Cluster Chopin Harga Nego",Rp 9 M,Jakarta Utara Golf Island,https://www.rumah123.com/properti/jakarta-utara-golf-island/rumah-mewah-di-golf-island-10x20-cluster-chopin-harga-nego-hos40945356/
Hunian 2 Lantai di Podomoro Park Konsep Rumah Tumbuh Dekat Tol,Rp 1.5 M,Bandung Buah Batu,https://www.rumah123.com/properti/bandung-buah-batu/hunian-2-lantai-di-podomoro-park-konsep-rumah-tumbuh-dekat-tol-hos40051243/
Hunian Akses Cepat Tol & KRL Bebas Banjir & Siap Huni Jaksel,Rp 5.2 M,Jakarta Selatan Tebet,https://www.rumah123.com/properti/jakarta-selatan-tebet/rumah-stategis-di-tebet-jakarta-selatan-hos19312520/
Rumah Strategis 2 Lt 7 Menit ke Gerbang Tol Kukusan 3 Siap Huni J39552,Rp 1.66 M,Jakarta Selatan Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah-strategis-2-lt-7-menit-ke-gerbang-tol-kukusan-3-siap-huni-j39552-hos40767843/
JUAL BUTUH UANG RUMAH MEWAH DI PIK ELANG LAUT 550M2,Rp 10 M,Jakarta Utara Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/jual-butuh-uang-rumah-mewah-di-pik-elang-laut-550m2-hos19309232/
SAGANO di Green Forest Residence,Rp 4.29 M,Pekanbaru,https://www.rumah123.com/perumahan-baru/properti/pekanbaru/green-forest-residence/sagano/hos29825/
Guess House Javanese Style Luas Harga di Bawah Pasar Dibantu KPR J40432,Rp 12.5 M,Jakarta Selatan Cilandak,https://www.rumah123.com/properti/jakarta-selatan-cilandak/guess-house-javanese-style-luas-harga-di-bawah-pasar-dibantu-kpr-j40432-hos40907591/
Dijual Rumah di Cluster Sutera Mentari Alam Sutera,Rp 7.5 M,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-di-cluster-sutera-mentari-alam-sutera-hos40093617/
Investasi & Hunian Premium Jimbaran Dekat Sekolah & Pantai,Rp 3.8 M,Badung Jimbaran,https://www.rumah123.com/properti/badung-jimbaran/rumah-bagus-shm-di-perumahan-damara-village-jimbaran-kuta-selatan-badung-bali-indonesia-80361-jimbaran-hos39600906/
De Sanur Villa di DE SANUR by Maja,Rp 3.05 M,Denpasar,https://www.rumah123.com/perumahan-baru/properti/denpasar/de-sanur-by-maja/de-sanur-villa/hos09811/
Rumah 3 Kamar SHM Dekat Terminal Bus Lippo Karawaci Siap Huni J39284,Rp 670 Juta,Tangerang Lippo Karawaci,https://www.rumah123.com/properti/tangerang-lippo-karawaci/rumah-3-kamar-shm-dekat-terminal-bus-lippo-karawaci-siap-huni-j39284-hos40795608/
Chandra Rumah baru ukuran 4x14m di tanjung duren,Rp 2.1 M,Jakarta Barat Tanjung Duren,https://www.rumah123.com/properti/jakarta-barat-tanjung-duren/chandra-rumah-baru-ukuran-4x14m-di-tanjung-duren-hos40543065/
For Sale Rumah Mewah 4 LT Kondisi Baru di Pusat Jakarta Selatan Lokasi Strategis,Rp 6.9 M,Jakarta Selatan Tebet,https://www.rumah123.com/properti/jakarta-selatan-tebet/for-sale-rumah-mewah-4-lt-kondisi-baru-di-pusat-jakarta-selatan-lokasi-strategis-hos39651865/
KAV. D.03 di Perumahan Bale Kayangan Prambanan,Rp 379 Juta,Klaten,https://www.rumah123.com/perumahan-baru/properti/klaten/perumahan-bale-kayangan-prambanan/kav-d03/hos19736/
DIJUAL RUMAH SIAP HUNI CLUSTER JADE PHG GADING SERPONG,Rp 4.25 M,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-rumah-siap-huni-cluster-jade-phg-gading-serpong-hos19325356/
Rumah Luas Dekat BSD 15 Menit ke Mall Summarecon Serpong Bisa KPR J16550,Rp 2.19 M,Tangerang Bsd City,https://www.rumah123.com/properti/tangerang-bsd-city/rumah-luas-dekat-bsd-15-menit-ke-mall-summarecon-serpong-bisa-kpr-j16550-hos39510567/
Rumah Siap Huni di Bogor 10 Menit ke Rs Hermina 2 Lt Bebas Banjir J23482,Rp 820 Juta,Bogor Tanah Sareal,https://www.rumah123.com/properti/bogor-tanah-sareal/rumah-siap-huni-di-bogor-10-menit-ke-rs-hermina-2-lt-bebas-banjir-j23482-hos40907590/
