No,provinsi,UpahMinimum,kecamatan
1,ACEH,3.685.616,T. JAMBO AYE
1,ACEH,3.685.616,SAWANG
1,ACEH,3.685.616,NISAM
1,ACEH,3.685.616,COT GIREK
1,ACEH,3.685.616,LANGKAHAN
1,ACEH,3.685.616,BAKTIYA BARAT
1,ACEH,3.685.616,PAYA BAKONG
1,ACEH,3.685.616,NIBONG
1,ACEH,3.685.616,SIMPANG KRAMAT
1,ACEH,3.685.616,LAPANG
1,ACEH,3.685.616,PIRAK TIMUR
1,ACEH,3.685.616,GEUREDONG PASE
1,ACEH,3.685.616,BANDA BARO
1,ACEH,3.685.616,NISAM ANTARA
1,ACEH,3.685.616,SIMEULUE TENGAH
1,ACEH,3.685.616,SALANG
1,ACEH,3.685.616,TEUPAH BARAT
1,ACEH,3.685.616,SIMEULUE TIMUR
1,ACEH,3.685.616,TELUK DALAM
1,ACEH,3.685.616,SIMEULUE BARAT
1,ACEH,3.685.616,TEUPAH SELATAN
1,ACEH,3.685.616,ALAPAN
1,ACEH,3.685.616,TEUPAH TENGAH
1,ACEH,3.685.616,SIMEULUE CUT
1,ACEH,3.685.616,PULAU BANYAK
1,ACEH,3.685.616,SIMPANG KANAN
1,ACEH,3.685.616,SINGKIL
1,ACEH,3.685.616,GUNUNG MERIAH
1,ACEH,3.685.616,KOTA BAHARU
1,ACEH,3.685.616,SINGKIL UTARA
1,ACEH,3.685.616,DANAU PARIS
1,ACEH,3.685.616,SURO MAKMUR
1,ACEH,3.685.616,SINGKOHOR
1,ACEH,3.685.616,KUALA BARU
1,ACEH,3.685.616,PULAU BANYAK BARAT
1,ACEH,3.685.616,SAMALANGA
1,ACEH,3.685.616,JEUNIEB
1,ACEH,3.685.616,PEUDADA
1,ACEH,3.685.616,JEUMPA
1,ACEH,3.685.616,PEUSANGAN
1,ACEH,3.685.616,MAKMUR
1,ACEH,3.685.616,GANDAPURA
1,ACEH,3.685.616,PANDRAH
1,ACEH,3.685.616,JULI
1,ACEH,3.685.616,JANGKA
1,ACEH,3.685.616,SIMPANG MAMPLAM
1,ACEH,3.685.616,PEULIMBANG
1,ACEH,3.685.616,KOTA JUANG
1,ACEH,3.685.616,KUALA
1,ACEH,3.685.616,PEUSANGAN SIBLAH KRUENG
1,ACEH,3.685.616,PEUSANGAN SELATAN
1,ACEH,3.685.616,KUTA BLANG
1,ACEH,3.685.616,BLANG PIDIE
1,ACEH,3.685.616,TANGAN-TANGAN
1,ACEH,3.685.616,MANGGENG
1,ACEH,3.685.616,SUSOH
1,ACEH,3.685.616,KUALA BATEE
1,ACEH,3.685.616,BABAH ROT
1,ACEH,3.685.616,SETIA
1,ACEH,3.685.616,JEUMPA
1,ACEH,3.685.616,LEMBAH SABIL
1,ACEH,3.685.616,BLANGKEJEREN
1,ACEH,3.685.616,KUTAPANJANG
1,ACEH,3.685.616,RIKIT GAIB
1,ACEH,3.685.616,TERANGUN
1,ACEH,3.685.616,PINING
1,ACEH,3.685.616,BLANGPEGAYON
1,ACEH,3.685.616,PUTERI BETUNG
1,ACEH,3.685.616,DABUN GELANG
1,ACEH,3.685.616,BLANGJERANGO
1,ACEH,3.685.616,TERIPE JAYA
1,ACEH,3.685.616,PANTAN CUACA
1,ACEH,3.685.616,TEUNOM
1,ACEH,3.685.616,KRUENG SABEE
1,ACEH,3.685.616,SETIA BHAKTI
1,ACEH,3.685.616,SAMPOINIET
1,ACEH,3.685.616,JAYA
1,ACEH,3.685.616,PANGA
1,ACEH,3.685.616,INDRA JAYA
1,ACEH,3.685.616,DARUL HIKMAH
1,ACEH,3.685.616,PASIE RAYA
1,ACEH,3.685.616,KUALA
1,ACEH,3.685.616,SEUNAGAN
1,ACEH,3.685.616,SEUNAGAN TIMUR
1,ACEH,3.685.616,BEUTONG
1,ACEH,3.685.616,DARUL MAKMUR
1,ACEH,3.685.616,SUKA MAKMUE
1,ACEH,3.685.616,KUALA PESISIR
1,ACEH,3.685.616,TADU RAYA
1,ACEH,3.685.616,TRIPA MAKMUR
1,ACEH,3.685.616,BEUTONG ATEUH BANGGALANG
1,ACEH,3.685.616,MANYAK PAYED
1,ACEH,3.685.616,BENDAHARA
1,ACEH,3.685.616,KARANG BARU
1,ACEH,3.685.616,SERUWAY
1,ACEH,3.685.616,KOTA KUALASINPANG
1,ACEH,3.685.616,KEJURUAN MUDA
1,ACEH,3.685.616,TAMIANG HULU
1,ACEH,3.685.616,RANTAU
1,ACEH,3.685.616,BANDA MULIA
1,ACEH,3.685.616,BANDAR PUSAKA
1,ACEH,3.685.616,TENGGULUN
1,ACEH,3.685.616,SEKERAK
1,ACEH,3.685.616,PINTU RIME GAYO
1,ACEH,3.685.616,PERMATA
1,ACEH,3.685.616,SYIAH UTAMA
1,ACEH,3.685.616,BANDAR
1,ACEH,3.685.616,BUKIT
1,ACEH,3.685.616,WIH PESAM
1,ACEH,3.685.616,TIMANG GAJAH
1,ACEH,3.685.616,BENER KELIPAH
1,ACEH,3.685.616,MESIDAH
1,ACEH,3.685.616,GAJAH PUTIH
1,ACEH,3.685.616,MEUREUDU
1,ACEH,3.685.616,ULIM
1,ACEH,3.685.616,JANGKA BUAYA
1,ACEH,3.685.616,BANDAR DUA
1,ACEH,3.685.616,MEURAH DUA
1,ACEH,3.685.616,BANDAR BARU
1,ACEH,3.685.616,PANTERAJA
1,ACEH,3.685.616,TRIENGGADENG
1,ACEH,3.685.616,BAITURRAHMAN
1,ACEH,3.685.616,KUTA ALAM
1,ACEH,3.685.616,MEURAXA
1,ACEH,3.685.616,SYIAH KUALA
1,ACEH,3.685.616,LUENG BATA
1,ACEH,3.685.616,KUTA RAJA
1,ACEH,3.685.616,BANDA RAYA
1,ACEH,3.685.616,JAYA BARU
1,ACEH,3.685.616,ULEE KARENG
1,ACEH,3.685.616,SUKAKARYA
1,ACEH,3.685.616,SUKAJAYA
1,ACEH,3.685.616,MUARA DUA
1,ACEH,3.685.616,BANDA SAKTI
1,ACEH,3.685.616,BLANG MANGAT
1,ACEH,3.685.616,MUARA SATU
1,ACEH,3.685.616,LANGSA TIMUR
1,ACEH,3.685.616,LANGSA BARAT
1,ACEH,3.685.616,LANGSA KOTA
1,ACEH,3.685.616,LANGSA LAMA
1,ACEH,3.685.616,LANGSA BARO
1,ACEH,3.685.616,SIMPANG KIRI
1,ACEH,3.685.616,PENANGGALAN
1,ACEH,3.685.616,RUNDENG
1,ACEH,3.685.616,SULTAN DAULAT
1,ACEH,3.685.616,LONGKIB
2,SUMATERA UTARA,2.992.559,BARUS
2,SUMATERA UTARA,2.992.559,SORKAM
2,SUMATERA UTARA,2.992.559,PANDAN
2,SUMATERA UTARA,2.992.559,PINANGSORI
2,SUMATERA UTARA,2.992.559,MANDUAMAS
2,SUMATERA UTARA,2.992.559,KOLANG
2,SUMATERA UTARA,2.992.559,TAPIAN NAULI
2,SUMATERA UTARA,2.992.559,SIBABANGUN
2,SUMATERA UTARA,2.992.559,SOSORGADONG
2,SUMATERA UTARA,2.992.559,SORKAM BARAT
2,SUMATERA UTARA,2.992.559,SIRANDORUNG
2,SUMATERA UTARA,2.992.559,ANDAM DEWI
2,SUMATERA UTARA,2.992.559,SITAHUIS
2,SUMATERA UTARA,2.992.559,TUKKA
2,SUMATERA UTARA,2.992.559,BADIRI
2,SUMATERA UTARA,2.992.559,PASARIBU TOBING
2,SUMATERA UTARA,2.992.559,BARUS UTARA
2,SUMATERA UTARA,2.992.559,SUKA BANGUN
2,SUMATERA UTARA,2.992.559,LUMUT
2,SUMATERA UTARA,2.992.559,SARUDIK
2,SUMATERA UTARA,2.992.559,TARUTUNG
2,SUMATERA UTARA,2.992.559,SIATAS BARITA
2,SUMATERA UTARA,2.992.559,ADIAN KOTING
2,SUMATERA UTARA,2.992.559,SIPOHOLON
2,SUMATERA UTARA,2.992.559,PAHAE JULU
2,SUMATERA UTARA,2.992.559,PAHAE JAE
2,SUMATERA UTARA,2.992.559,SIMANGUMBAN
2,SUMATERA UTARA,2.992.559,PURBA TUA
2,SUMATERA UTARA,2.992.559,SIBORONG-BORONG
2,SUMATERA UTARA,2.992.559,PAGARAN
2,SUMATERA UTARA,2.992.559,PARMONANGAN
2,SUMATERA UTARA,2.992.559,SIPAHUTAR
2,SUMATERA UTARA,2.992.559,PANGARIBUAN
2,SUMATERA UTARA,2.992.559,GAROGA
2,SUMATERA UTARA,2.992.559,MUARA
2,SUMATERA UTARA,2.992.559,ANGKOLA BARAT
2,SUMATERA UTARA,2.992.559,BATANG TORU
2,SUMATERA UTARA,2.992.559,ANGKOLA TIMUR
