No,provinsi,UpahMinimum,kecamatan
1,ACEH,3685616,SIMEULUE TENGAH
1,ACEH,3685616,SALANG
1,ACEH,3685616,TEUPAH BARAT
1,ACEH,3685616,SIMEULUE TIMUR
1,ACEH,3685616,TELUK DALAM
1,ACEH,3685616,SIMEULUE BARAT
1,ACEH,3685616,TEUPAH SELATAN
1,ACEH,3685616,ALAPAN
1,ACEH,3685616,TEUPAH TENGAH
1,ACEH,3685616,SIMEULUE CUT
1,ACEH,3685616,PULAU BANYAK
1,ACEH,3685616,SIMPANG KANAN
1,ACEH,3685616,SINGKIL
1,ACEH,3685616,GUNUNG MERIAH
1,ACEH,3685616,KOTA BAHARU
1,ACEH,3685616,SINGKIL UTARA
1,ACEH,3685616,DANAU PARIS
1,ACEH,3685616,SURO MAKMUR
1,ACEH,3685616,SINGKOHOR
1,ACEH,3685616,KUALA BARU
1,ACEH,3685616,PULAU BANYAK BARAT
1,ACEH,3685616,SAMALANGA
1,ACEH,3685616,JEUNIEB
1,ACEH,3685616,PEUDADA
1,ACEH,3685616,JEUMPA
1,ACEH,3685616,PEUSANGAN
1,ACEH,3685616,MAKMUR
1,ACEH,3685616,GANDAPURA
1,ACEH,3685616,PANDRAH
1,ACEH,3685616,JULI
1,ACEH,3685616,JANGKA
1,ACEH,3685616,SIMPANG MAMPLAM
1,ACEH,3685616,PEULIMBANG
1,ACEH,3685616,KOTA JUANG
1,ACEH,3685616,KUALA
1,ACEH,3685616,PEUSANGAN SIBLAH KRUENG
1,ACEH,3685616,PEUSANGAN SELATAN
1,ACEH,3685616,KUTA BLANG
1,ACEH,3685616,BLANG PIDIE
1,ACEH,3685616,TANGAN-TANGAN
1,ACEH,3685616,MANGGENG
1,ACEH,3685616,SUSOH
1,ACEH,3685616,KUALA BATEE
1,ACEH,3685616,BABAH ROT
1,ACEH,3685616,SETIA
1,ACEH,3685616,JEUMPA
1,ACEH,3685616,LEMBAH SABIL
1,ACEH,3685616,BLANGKEJEREN
1,ACEH,3685616,KUTAPANJANG
1,ACEH,3685616,RIKIT GAIB
1,ACEH,3685616,TERANGUN
1,ACEH,3685616,PINING
1,ACEH,3685616,BLANGPEGAYON
1,ACEH,3685616,PUTERI BETUNG
1,ACEH,3685616,DABUN GELANG
1,ACEH,3685616,BLANGJERANGO
1,ACEH,3685616,TERIPE JAYA
1,ACEH,3685616,PANTAN CUACA
1,ACEH,3685616,TEUNOM
1,ACEH,3685616,KRUENG SABEE
1,ACEH,3685616,SETIA BHAKTI
1,ACEH,3685616,SAMPOINIET
1,ACEH,3685616,JAYA
1,ACEH,3685616,PANGA
1,ACEH,3685616,INDRA JAYA
1,ACEH,3685616,DARUL HIKMAH
1,ACEH,3685616,PASIE RAYA
1,ACEH,3685616,KUALA
1,ACEH,3685616,SEUNAGAN
1,ACEH,3685616,SEUNAGAN TIMUR
1,ACEH,3685616,BEUTONG
1,ACEH,3685616,DARUL MAKMUR
1,ACEH,3685616,SUKA MAKMUE
1,ACEH,3685616,KUALA PESISIR
1,ACEH,3685616,TADU RAYA
1,ACEH,3685616,TRIPA MAKMUR
1,ACEH,3685616,BEUTONG ATEUH BANGGALANG
1,ACEH,3685616,MANYAK PAYED
1,ACEH,3685616,BENDAHARA
1,ACEH,3685616,KARANG BARU
1,ACEH,3685616,SERUWAY
1,ACEH,3685616,KOTA KUALASINPANG
1,ACEH,3685616,KEJURUAN MUDA
1,ACEH,3685616,TAMIANG HULU
1,ACEH,3685616,RANTAU
1,ACEH,3685616,BANDA MULIA
1,ACEH,3685616,BANDAR PUSAKA
1,ACEH,3685616,TENGGULUN
1,ACEH,3685616,SEKERAK
1,ACEH,3685616,PINTU RIME GAYO
1,ACEH,3685616,PERMATA
1,ACEH,3685616,SYIAH UTAMA
1,ACEH,3685616,BANDAR
1,ACEH,3685616,BUKIT
1,ACEH,3685616,WIH PESAM
1,ACEH,3685616,TIMANG GAJAH
1,ACEH,3685616,BENER KELIPAH
1,ACEH,3685616,MESIDAH
1,ACEH,3685616,GAJAH PUTIH
1,ACEH,3685616,MEUREUDU
1,ACEH,3685616,ULIM
1,ACEH,3685616,JANGKA BUAYA
1,ACEH,3685616,BANDAR DUA
1,ACEH,3685616,MEURAH DUA
1,ACEH,3685616,BANDAR BARU
1,ACEH,3685616,PANTERAJA
1,ACEH,3685616,TRIENGGADENG
1,ACEH,3685616,BAITURRAHMAN
1,ACEH,3685616,KUTA ALAM
1,ACEH,3685616,MEURAXA
1,ACEH,3685616,SYIAH KUALA
1,ACEH,3685616,LUENG BATA
1,ACEH,3685616,KUTA RAJA
1,ACEH,3685616,BANDA RAYA
1,ACEH,3685616,JAYA BARU
1,ACEH,3685616,ULEE KARENG
1,ACEH,3685616,SUKAKARYA
1,ACEH,3685616,SUKAJAYA
1,ACEH,3685616,MUARA DUA
1,ACEH,3685616,BANDA SAKTI
1,ACEH,3685616,BLANG MANGAT
1,ACEH,3685616,MUARA SATU
1,ACEH,3685616,LANGSA TIMUR
1,ACEH,3685616,LANGSA BARAT
1,ACEH,3685616,LANGSA KOTA
1,ACEH,3685616,LANGSA LAMA
1,ACEH,3685616,LANGSA BARO
1,ACEH,3685616,SIMPANG KIRI
1,ACEH,3685616,PENANGGALAN
1,ACEH,3685616,RUNDENG
1,ACEH,3685616,SULTAN DAULAT
1,ACEH,3685616,LONGKIB
2,SUMATERA UTARA,2992559,BARUS
2,SUMATERA UTARA,2992559,SORKAM
2,SUMATERA UTARA,2992559,PANDAN
2,SUMATERA UTARA,2992559,PINANGSORI
2,SUMATERA UTARA,2992559,MANDUAMAS
2,SUMATERA UTARA,2992559,KOLANG
2,SUMATERA UTARA,2992559,TAPIAN NAULI
2,SUMATERA UTARA,2992559,SIBABANGUN
2,SUMATERA UTARA,2992559,SOSORGADONG
2,SUMATERA UTARA,2992559,SORKAM BARAT
2,SUMATERA UTARA,2992559,SIRANDORUNG
2,SUMATERA UTARA,2992559,ANDAM DEWI
2,SUMATERA UTARA,2992559,SITAHUIS
2,SUMATERA UTARA,2992559,TUKKA
2,SUMATERA UTARA,2992559,BADIRI
2,SUMATERA UTARA,2992559,PASARIBU TOBING
2,SUMATERA UTARA,2992559,BARUS UTARA
2,SUMATERA UTARA,2992559,SUKA BANGUN
2,SUMATERA UTARA,2992559,LUMUT
2,SUMATERA UTARA,2992559,SARUDIK
2,SUMATERA UTARA,2992559,TARUTUNG
2,SUMATERA UTARA,2992559,SIATAS BARITA
2,SUMATERA UTARA,2992559,ADIAN KOTING
2,SUMATERA UTARA,2992559,SIPOHOLON
2,SUMATERA UTARA,2992559,PAHAE JULU
2,SUMATERA UTARA,2992559,PAHAE JAE
2,SUMATERA UTARA,2992559,SIMANGUMBAN
2,SUMATERA UTARA,2992559,PURBA TUA
2,SUMATERA UTARA,2992559,SIBORONG-BORONG
2,SUMATERA UTARA,2992559,PAGARAN
2,SUMATERA UTARA,2992559,PARMONANGAN
2,SUMATERA UTARA,2992559,SIPAHUTAR
